,start_station_name,end_station_name,start_lat,start_lng,end_lat,end_lng,trips
5583,46 Ave & 5 St,Vernon Blvd & 50 Ave,40.74731,-73.95451,40.74232744,-73.95411749,267
3594,Central Park S & 6 Ave,7 Ave & Central Park South,40.76590936,-73.97634151,40.7667405590595,-73.9790689945221,264
4852,Milton St & Franklin St,Kent Ave & N 7 St,40.72906,-73.95779,40.72036775298455,-73.96165072917938,259
4144,12 Ave & W 40 St,10 Ave & W 14 St,40.760875,-74.002777,40.741982,-74.008316,258
34239,Central Park S & 6 Ave,Central Park North & Adam Clayton Powell Blvd,40.76590936,-73.97634151,40.799484,-73.955613,258
24803,5 Ave & E 93 St,5 Ave & E 93 St,40.7857851,-73.957481,40.7857851,-73.957481,257
4414,5 Ave & E 78 St,5 Ave & E 78 St,40.77632142182271,-73.96427392959595,40.77632142182271,-73.96427392959595,255
3053,Henry St & Grand St,Canal St & Rutgers St,40.714211,-73.981095,40.71427487,-73.98990025,255
6244,W 22 St & 10 Ave,W 21 St & 6 Ave,40.74691959,-74.00451887,40.74173969,-73.99415556,253
8507,10 Ave & W 28 St,W 26 St & 8 Ave,40.75066386,-74.00176802,40.74734825,-73.99723551,251
6902,11 Ave & W 41 St,W 42 St & 8 Ave,40.76030096,-73.99884222,40.7575699,-73.99098507,250
60425,Picnic Point,Soissons Landing,40.68512559515415,-74.02535319328308,40.69231660719192,-74.01486575603485,249
12959,Vernon Blvd & 50 Ave,Franklin St & Dupont St,40.74232744,-73.95411749,40.73564,-73.95866,246
6942,North Moore St & Greenwich St,Vesey Pl & River Terrace,40.72019521437465,-74.0103006362915,40.7153379,-74.01658354,245
4796,W 26 St & 8 Ave,10 Ave & W 28 St,40.74734825,-73.99723551,40.75066386,-74.00176802,243
7112,W 21 St & 6 Ave,W 15 St & 7 Ave,40.74173969,-73.99415556,40.73935542,-73.99931783,243
3008,11 Ave & W 41 St,8 Ave & W 33 St,40.76030096,-73.99884222,40.751551,-73.993934,240
5005,Broadway & Berry St,N 6 St & Bedford Ave,40.71044554,-73.96525063,40.71745169,-73.95850939,239
10590,Vernon Blvd & 50 Ave,46 Ave & 5 St,40.74232744,-73.95411749,40.74731,-73.95451,237
15870,N 6 St & Bedford Ave,Broadway & Berry St,40.71745169,-73.95850939,40.71044554,-73.96525063,236
16190,West St & Liberty St,West St & Liberty St,40.711444,-74.014847,40.711444,-74.014847,236
107094,Soissons Landing,Picnic Point,40.69231660719192,-74.01486575603485,40.68512559515415,-74.02535319328308,235
31366,Central Park S & 6 Ave,5 Ave & E 72 St,40.76590936,-73.97634151,40.77282817,-73.96685276,233
1838,E 33 St & 1 Ave,W 31 St & 7 Ave,40.74322681432173,-73.97449783980846,40.749156,-73.9916,233
6109,W 84 St & Columbus Ave,Columbus Ave & W 72 St,40.78499979,-73.97283406,40.7770575,-73.97898475,232
31808,W 20 St & 10 Ave,W 21 St & 6 Ave,40.745686,-74.005141,40.74173969,-73.99415556,232
918,Kent Ave & N 7 St,Milton St & Franklin St,40.72036775298455,-73.96165072917938,40.72906,-73.95779,231
432426,River Ter & Warren St,Vesey Pl & River Terrace,40.71759894980997,-74.01587963104248,40.7153379,-74.01658354,231
7944,Canal St & Rutgers St,Henry St & Grand St,40.71427487,-73.98990025,40.714211,-73.981095,230
2951,Broadway & W 41 St,6 Ave & W 34 St,40.75513557,-73.98658032,40.74964,-73.98805,229
31874,W 70 St & Amsterdam Ave,Riverside Blvd & W 67 St,40.77748046,-73.98288594,40.777507027547976,-73.98888587951659,228
7002,46 Ave & 5 St,45 Ave & 21 St,40.74731,-73.95451,40.74737075646803,-73.94777297973631,228
15656,W 22 St & 8 Ave,W 22 St & 10 Ave,40.74475148,-73.99915362,40.74691959,-74.00451887,227
78665,Centre St & Worth St,Centre St & Chambers St,40.71494807,-74.00234482,40.71273266,-74.0046073,226
8135,E 77 St & 3 Ave,1 Ave & E 78 St,40.77314236,-73.95856158,40.77140426,-73.9535166,225
2268,1 Ave & E 68 St,E 68 St & 3 Ave,40.76500525,-73.95818491,40.76712840349542,-73.96224617958069,225
23649,Brooklyn Bridge Park - Pier 2,Brooklyn Bridge Park - Pier 2,40.698458,-73.997178,40.698458,-73.997178,224
56636,Grand Army Plaza & Central Park S,5 Ave & E 87 St,40.7643971,-73.97371465,40.78232260730881,-73.95987510681152,223
226,S 3 St & Bedford Ave,N 6 St & Bedford Ave,40.71260486,-73.96264403,40.71745169,-73.95850939,223
220,45 Ave & 21 St,46 Ave & 5 St,40.74737075646803,-73.94777297973631,40.74731,-73.95451,220
35811,12 Ave & W 40 St,Pier 40 - Hudson River Park,40.76087502,-74.00277668,40.7277140777778,-74.01129573583603,220
4136,10 Ave & W 14 St,10 Ave & W 14 St,40.74198159994023,-74.00831580162048,40.74198159994023,-74.00831580162048,218
1748,Central Park S & 6 Ave,Central Park West & W 72 St,40.76590936,-73.97634151,40.77579376683666,-73.9762057363987,217
1686,E 102 St & 1 Ave,2 Ave & E 96 St,40.7869946,-73.94164802,40.7839636,-73.9471673,216
20874,Greenwich St & W Houston St,Pier 40 - Hudson River Park,40.728846,-74.008591,40.7277140777778,-74.01129573583603,216
3307,9 Ave & W 22 St,W 21 St & 6 Ave,40.7454973,-74.00197139,40.74173969,-73.99415556,216
2524,W 20 St & 10 Ave,W 20 St & 8 Ave,40.745686,-74.005141,40.74345335,-74.00004031,216
3618,E 33 St & 1 Ave,6 Ave & W 33 St,40.74322681432173,-73.97449783980846,40.74901271,-73.98848395,215
17277,W 21 St & 6 Ave,W 22 St & 8 Ave,40.74173969,-73.99415556,40.74475148,-73.99915362,214
14297,West St & Liberty St,Little West St & 1 Pl,40.711444,-74.014847,40.70569254,-74.01677685,213
19688,10 Ave & W 14 St,West St & Liberty St,40.74198159994023,-74.00831580162048,40.711444,-74.014847,213
931,Riverside Blvd & W 67 St,Riverside Blvd & W 67 St,40.777507027547976,-73.98888587951659,40.777507027547976,-73.98888587951659,212
5593,Center Blvd & 51 Ave,Vernon Blvd & 50 Ave,40.74336608027021,-73.95960688591003,40.74232744,-73.95411749,212
12738,Grand Army Plaza & Central Park S,Central Park S & 6 Ave,40.7643971,-73.97371465,40.76590936,-73.97634151,212
8646,Central Park West & W 85 St,Central Park West & W 85 St,40.78476,-73.969862,40.78476,-73.969862,211
5681,N 6 St & Bedford Ave,Wythe Ave & Metropolitan Ave,40.71745169,-73.95850939,40.716887,-73.963198,210
13311,Amsterdam Ave & W 73 St,Amsterdam Ave & W 82 St,40.77966809007312,-73.98093044757842,40.78524672,-73.97667321,209
3891,E 40 St & Park Ave,E 27 St & Park Ave S,40.750756,-73.978326,40.74275179648995,-73.9847157150507,208
8491,11 Ave & W 27 St,W 26 St & 8 Ave,40.751396,-74.005226,40.74734825,-73.99723551,208
11764,E 68 St & 3 Ave,1 Ave & E 68 St,40.76712840349542,-73.96224617958069,40.76500525,-73.95818491,208
30187,1 Ave & E 68 St,1 Ave & E 62 St,40.76500525,-73.95818491,40.7612274,-73.96094022,208
10684,S 5 Pl & S 5 St,S 5 Pl & S 5 St,40.710451,-73.960876,40.710451,-73.960876,207
4442,Willoughby St & Fleet St,Adelphi St & Myrtle Ave,40.69196566,-73.9813018,40.69308257,-73.97178913,207
7537,6 Ave & W 33 St,E 33 St & 1 Ave,40.74901271,-73.98848395,40.74322681432173,-73.97449783980846,206
5373,1 Ave & E 78 St,E 85 St & 3 Ave,40.77140426,-73.9535166,40.77801203,-73.95407149,206
25779,2 Ave & E 72 St,E 72 St & York Ave,40.7687620293096,-73.95840793848038,40.76663814,-73.95348296,205
475,11 Ave & W 41 St,11 Ave & W 41 St,40.76030096,-73.99884222,40.76030096,-73.99884222,205
49887,11 Ave & W 41 St,W 44 St & 11 Ave,40.76030096,-73.99884222,40.762009,-73.996975,204
7454,Kent Ave & N 7 St,Franklin St & Dupont St,40.72036775298455,-73.96165072917938,40.73564,-73.95866,203
11972,9 Ave & W 18 St,W 17 St & 8 Ave,40.74317449,-74.00366443,40.74177603,-74.00149746,203
6746,Washington Square E,University Pl & E 14 St,40.73049393,-73.9957214,40.734814,-73.992085,202
21788,W 26 St & 8 Ave,11 Ave & W 27 St,40.74734825,-73.99723551,40.751396,-74.005226,202
7460,Cleveland Pl & Spring St,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,40.722103786686034,-73.99724900722504,202
2021,Centre St & Chambers St,Cadman Plaza E & Tillary St,40.71273266,-74.0046073,40.69597683,-73.99014892,201
